ID,name,description,date,location,category_ID
4711,"ACDC Concert","ACDC Concert Tour 2023","2023-09-01","Tel Aviv",music
4712,"Formula 1 Grand Prix","Formula 1 Grand Prix 2023","2023-10-01","Tel Aviv",sport
4713,"Taylor Swift Eras Tour","Taylor Swift Eras Tour","2023-09-01","Tel Aviv",music
4714,"French Cousine","5 Star Gourmet Restaurant","2023-09-01","Tel Aviv",food
4715,"Fat Burger","all you can eat buffet","2023-09-01","Tel Aviv",food
4721,"ACDC Concert","Bruce Springsteen","2023-09-01","Walldorf",music
4731,"ACDC Concert","ACDC Concert Tour 2023","2023-10-01","Walldorf",music
4733,"Taylor Swift Eras Tour","Taylor Swift Eras Tour","2023-10-01","Walldorf",music
4734,"Together Yoga","Relaxation Worshop for Old and Young","2023-09-01","Walldorf",sport
4735,"Together Yoga","Relaxation Worshop for Old and Young","2023-10-01","Walldorf",sport
4742,"Formula 1 Grand Prix","Formula 1 Grand Prix 2023","2023-09-01","Dubai",sport
4743,"Taylor Swift Eras Tour","Taylor Swift Eras Tour","2023-12-01","Dubai",music
